"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"289","1978-03-19","Quebec Nordiques","3","Winnipeg Jets","5","","","",""
"290","1978-03-21","Indianapolis Racers","3","New England Whalers","6","","","",""
"291","1978-03-21","Birmingham Bulls","5","Quebec Nordiques","4","","","",""
"292","1978-03-22","Houston Aeros","2","Cincinnati Stingers","9","","","",""
"293","1978-03-22","Birmingham Bulls","5","Edmonton Oilers","3","","","",""
"294","1978-03-22","Winnipeg Jets","5","New England Whalers","3","","","",""
"295","1978-03-24","Quebec Nordiques","4","Birmingham Bulls","3","OT","","",""
"296","1978-03-24","Indianapolis Racers","0","Edmonton Oilers","4","","","",""
"297","1978-03-24","Houston Aeros","1","New England Whalers","0","","","",""
"298","1978-03-25","Winnipeg Jets","3","Birmingham Bulls","1","","","",""
"299","1978-03-25","Quebec Nordiques","3","Houston Aeros","4","OT","","",""
"300","1978-03-26","Edmonton Oilers","3","New England Whalers","5","","","",""
"301","1978-03-28","Winnipeg Jets","3","Houston Aeros","5","","","",""
"302","1978-03-28","Edmonton Oilers","4","Indianapolis Racers","3","OT","","",""
"303","1978-03-28","Cincinnati Stingers","4","Quebec Nordiques","6","","","",""
"304","1978-03-29","Cincinnati Stingers","1","New England Whalers","6","","","",""
"305","1978-03-30","Edmonton Oilers","1","Houston Aeros","5","","","",""
"306","1978-03-30","Winnipeg Jets","4","Indianapolis Racers","1","","","",""
"307","1978-03-31","Edmonton Oilers","2","Birmingham Bulls","5","","","",""
"308","1978-04-01","Cincinnati Stingers","1","Birmingham Bulls","5","","","",""
"309","1978-04-01","Edmonton Oilers","4","Indianapolis Racers","1","","","",""
"310","1978-04-01","Winnipeg Jets","2","Quebec Nordiques","5","","","",""
"311","1978-04-02","Cincinnati Stingers","3","Indianapolis Racers","6","","","",""
"312","1978-04-02","Houston Aeros","1","Quebec Nordiques","7","","","",""
"313","1978-04-03","Houston Aeros","6","New England Whalers","8","","","",""
"314","1978-04-04","Winnipeg Jets","3","Houston Aeros","6","","","",""
"315","1978-04-04","Edmonton Oilers","1","Quebec Nordiques","9","","","",""
"316","1978-04-05","Birmingham Bulls","4","Cincinnati Stingers","5","","","",""
"317","1978-04-05","New England Whalers","4","Edmonton Oilers","4","","","",""
"318","1978-04-06","New England Whalers","4","Winnipeg Jets","7","","","",""
"319","1978-04-07","Houston Aeros","3","Birmingham Bulls","5","","","",""
"320","1978-04-07","Winnipeg Jets","2","Edmonton Oilers","4","","","",""
"321","1978-04-07","Cincinnati Stingers","6","Indianapolis Racers","4","","","",""
"322","1978-04-08","Cincinnati Stingers","4","Houston Aeros","5","","","",""
"323","1978-04-08","Indianapolis Racers","3","Quebec Nordiques","7","","","",""
"324","1978-04-09","Quebec Nordiques","2","Cincinnati Stingers","6","","","",""
"325","1978-04-09","Birmingham Bulls","9","Indianapolis Racers","7","","","",""
"326","1978-04-09","Houston Aeros","5","Winnipeg Jets","4","","","",""
"327","1978-04-10","Cincinnati Stingers","1","New England Whalers","6","","","",""
"328","1978-04-11","Indianapolis Racers","3","New England Whalers","6","","","",""
